algorithm,size,scenario,iteration,time_ms
quick_med3,10000,random,72,0.6214
quick_med3,10000,random,73,0.7747
quick_med3,10000,random,74,0.5496
quick_med3,10000,random,75,0.551
quick_med3,10000,random,76,0.5516
quick_med3,10000,random,77,0.5496
quick_med3,10000,random,78,0.5443
quick_med3,10000,random,79,0.5378
quick_med3,10000,random,80,0.5734
quick_med3,10000,random,81,0.5433
quick_med3,10000,random,82,0.6924
quick_med3,10000,random,83,0.6934
quick_med3,10000,random,84,0.5846
quick_med3,10000,random,85,0.6744
quick_med3,10000,random,86,0.7868
quick_med3,10000,random,87,0.6623
quick_med3,10000,random,88,0.652
quick_med3,10000,random,89,0.5471
quick_med3,10000,random,90,0.5487
quick_med3,10000,random,91,1.0639
quick_med3,10000,random,92,0.5826
quick_med3,10000,random,93,0.586
quick_med3,10000,random,94,0.5445
quick_med3,10000,random,95,0.5814
quick_med3,10000,random,96,0.5444
quick_med3,10000,random,97,0.604
quick_med3,10000,random,98,0.5412
quick_med3,10000,random,99,0.8625
intro,10000,random,0,0.5193
intro,10000,random,1,0.4716
intro,10000,random,2,0.5021
intro,10000,random,3,0.4731
intro,10000,random,4,0.5221
intro,10000,random,5,0.4786
intro,10000,random,6,0.5039
intro,10000,random,7,0.4688
intro,10000,random,8,0.7558
intro,10000,random,9,0.5312
intro,10000,random,10,0.4815
intro,10000,random,11,0.5244
intro,10000,random,12,0.6771
intro,10000,random,13,0.7293
intro,10000,random,14,0.477
intro,10000,random,15,0.5979
intro,10000,random,16,0.4734
intro,10000,random,17,0.4722
intro,10000,random,18,0.8841
intro,10000,random,19,0.4779
intro,10000,random,20,0.463
intro,10000,random,21,0.4815
intro,10000,random,22,0.4655
intro,10000,random,23,0.4821
intro,10000,random,24,0.4606
intro,10000,random,25,0.4744
intro,10000,random,26,0.4726
intro,10000,random,27,0.4792
intro,10000,random,28,0.7245
intro,10000,random,29,0.5195
intro,10000,random,30,0.4758
intro,10000,random,31,0.4722
intro,10000,random,32,0.4721
intro,10000,random,33,0.4639
intro,10000,random,34,0.4696
intro,10000,random,35,0.5291
intro,10000,random,36,0.4706
intro,10000,random,37,0.4755
intro,10000,random,38,0.4656
intro,10000,random,39,0.6937
intro,10000,random,40,0.4781
intro,10000,random,41,0.4695
intro,10000,random,42,0.4653
intro,10000,random,43,0.5011
intro,10000,random,44,0.4743
intro,10000,random,45,0.5023
intro,10000,random,46,0.4725
intro,10000,random,47,0.5971
intro,10000,random,48,0.5035
intro,10000,random,49,0.4918
intro,10000,random,50,0.7782
intro,10000,random,51,0.4965
intro,10000,random,52,0.4663
intro,10000,random,53,0.4749
intro,10000,random,54,0.4736
intro,10000,random,55,0.4774
intro,10000,random,56,0.468
intro,10000,random,57,0.4642
intro,10000,random,58,0.5339
intro,10000,random,59,0.4661
intro,10000,random,60,0.5744
intro,10000,random,61,0.5231
intro,10000,random,62,0.5402
intro,10000,random,63,0.4795
intro,10000,random,64,0.6953
intro,10000,random,65,0.6769
intro,10000,random,66,0.4976
intro,10000,random,67,0.5565
intro,10000,random,68,0.4736
intro,10000,random,69,0.4723
intro,10000,random,70,0.9753
intro,10000,random,71,0.4738
intro,10000,random,72,0.474
intro,10000,random,73,0.4827
intro,10000,random,74,0.4745
intro,10000,random,75,0.4742
intro,10000,random,76,0.4666
intro,10000,random,77,0.5044
intro,10000,random,78,0.4698
intro,10000,random,79,0.4681
intro,10000,random,80,0.7383
intro,10000,random,81,0.5189
intro,10000,random,82,0.4694
intro,10000,random,83,0.4682
intro,10000,random,84,0.4723
intro,10000,random,85,0.4758
intro,10000,random,86,0.4706
intro,10000,random,87,0.5115
intro,10000,random,88,0.4679
intro,10000,random,89,0.5722
intro,10000,random,90,0.4732
intro,10000,random,91,0.7432
intro,10000,random,92,0.4732
intro,10000,random,93,0.4693
intro,10000,random,94,0.4656
intro,10000,random,95,0.4729
intro,10000,random,96,0.4672
intro,10000,random,97,0.4714
intro,10000,random,98,0.464
intro,10000,random,99,0.5329
merge,10000,sorted_25,0,0.8368
merge,10000,sorted_25,1,0.5419
merge,10000,sorted_25,2,0.5346
merge,10000,sorted_25,3,0.5386
merge,10000,sorted_25,4,0.5351
merge,10000,sorted_25,5,0.5387
merge,10000,sorted_25,6,0.5356
merge,10000,sorted_25,7,0.5662
merge,10000,sorted_25,8,0.5386
merge,10000,sorted_25,9,0.7587
merge,10000,sorted_25,10,0.6581
merge,10000,sorted_25,11,0.5402
merge,10000,sorted_25,12,0.6822
merge,10000,sorted_25,13,0.7838
merge,10000,sorted_25,14,0.6415
merge,10000,sorted_25,15,0.5734
merge,10000,sorted_25,16,0.5356
merge,10000,sorted_25,17,0.9111
merge,10000,sorted_25,18,0.5669
merge,10000,sorted_25,19,0.544
merge,10000,sorted_25,20,0.5369
merge,10000,sorted_25,21,0.534
merge,10000,sorted_25,22,0.551
merge,10000,sorted_25,23,0.5366
merge,10000,sorted_25,24,0.5695
merge,10000,sorted_25,25,0.5369
merge,10000,sorted_25,26,0.5392
merge,10000,sorted_25,27,0.8421
merge,10000,sorted_25,28,0.5355
merge,10000,sorted_25,29,0.5388
merge,10000,sorted_25,30,0.538
merge,10000,sorted_25,31,0.5401
merge,10000,sorted_25,32,0.5375
merge,10000,sorted_25,33,0.5677
merge,10000,sorted_25,34,0.5904
merge,10000,sorted_25,35,0.5587
merge,10000,sorted_25,36,0.756
merge,10000,sorted_25,37,0.5653
merge,10000,sorted_25,38,0.5412
merge,10000,sorted_25,39,0.5348
merge,10000,sorted_25,40,0.5381
merge,10000,sorted_25,41,0.5361
merge,10000,sorted_25,42,0.5345
merge,10000,sorted_25,43,0.5703
merge,10000,sorted_25,44,0.5492
merge,10000,sorted_25,45,0.5379
merge,10000,sorted_25,46,0.8003
merge,10000,sorted_25,47,0.5529
merge,10000,sorted_25,48,0.5393
merge,10000,sorted_25,49,0.5388
merge,10000,sorted_25,50,0.5354
merge,10000,sorted_25,51,0.5367
merge,10000,sorted_25,52,0.5353
merge,10000,sorted_25,53,0.5666
merge,10000,sorted_25,54,0.535
merge,10000,sorted_25,55,0.7051
merge,10000,sorted_25,56,0.6867
merge,10000,sorted_25,57,0.5477
merge,10000,sorted_25,58,0.571
merge,10000,sorted_25,59,0.5405
merge,10000,sorted_25,60,0.5429
merge,10000,sorted_25,61,0.5367
merge,10000,sorted_25,62,0.5566
merge,10000,sorted_25,63,0.5503
merge,10000,sorted_25,64,0.5376
merge,10000,sorted_25,65,0.8043
merge,10000,sorted_25,66,0.5433
merge,10000,sorted_25,67,0.5362
merge,10000,sorted_25,68,0.54
merge,10000,sorted_25,69,0.5369
merge,10000,sorted_25,70,0.54
merge,10000,sorted_25,71,0.5364
merge,10000,sorted_25,72,0.5398
merge,10000,sorted_25,73,0.5325
merge,10000,sorted_25,74,0.7659
merge,10000,sorted_25,75,0.6278
merge,10000,sorted_25,76,0.5388
merge,10000,sorted_25,77,0.536
merge,10000,sorted_25,78,0.5377
merge,10000,sorted_25,79,0.5354
merge,10000,sorted_25,80,0.5411
merge,10000,sorted_25,81,0.5364
merge,10000,sorted_25,82,0.568
merge,10000,sorted_25,83,0.5348
merge,10000,sorted_25,84,0.7968
merge,10000,sorted_25,85,0.6258
merge,10000,sorted_25,86,0.541
merge,10000,sorted_25,87,0.7942
merge,10000,sorted_25,88,0.7692
merge,10000,sorted_25,89,0.6492
merge,10000,sorted_25,90,0.6238
merge,10000,sorted_25,91,0.5379
merge,10000,sorted_25,92,1.0095
merge,10000,sorted_25,93,0.5454
merge,10000,sorted_25,94,0.5365
merge,10000,sorted_25,95,0.5395
merge,10000,sorted_25,96,0.5385
merge,10000,sorted_25,97,0.5553
merge,10000,sorted_25,98,0.5374
merge,10000,sorted_25,99,0.5419
quick_med3,10000,sorted_25,0,0.8505
quick_med3,10000,sorted_25,1,0.5362
quick_med3,10000,sorted_25,2,0.5404
quick_med3,10000,sorted_25,3,0.5223
quick_med3,10000,sorted_25,4,0.5239
quick_med3,10000,sorted_25,5,0.5261
quick_med3,10000,sorted_25,6,0.5548
quick_med3,10000,sorted_25,7,0.529
quick_med3,10000,sorted_25,8,0.5322
quick_med3,10000,sorted_25,9,0.5192
quick_med3,10000,sorted_25,10,0.9116
quick_med3,10000,sorted_25,11,0.5298
quick_med3,10000,sorted_25,12,0.5181
quick_med3,10000,sorted_25,13,0.5329
quick_med3,10000,sorted_25,14,0.5224
quick_med3,10000,sorted_25,15,0.5284
quick_med3,10000,sorted_25,16,0.529
quick_med3,10000,sorted_25,17,0.5651
quick_med3,10000,sorted_25,18,0.5247
quick_med3,10000,sorted_25,19,0.8953
quick_med3,10000,sorted_25,20,0.6265
quick_med3,10000,sorted_25,21,0.5314
quick_med3,10000,sorted_25,22,0.5494
quick_med3,10000,sorted_25,23,0.5263
quick_med3,10000,sorted_25,24,0.5257
quick_med3,10000,sorted_25,25,0.54
quick_med3,10000,sorted_25,26,0.56
quick_med3,10000,sorted_25,27,0.532
quick_med3,10000,sorted_25,28,0.9358
quick_med3,10000,sorted_25,29,0.5929
quick_med3,10000,sorted_25,30,0.5349
quick_med3,10000,sorted_25,31,0.5312
quick_med3,10000,sorted_25,32,0.5334
quick_med3,10000,sorted_25,33,0.539
quick_med3,10000,sorted_25,34,0.5238
quick_med3,10000,sorted_25,35,0.5853
